edge_id,timestamp_i,timestamp_j,correspondence_success,correspondence_failure_reason,detector_type,keypoint_count_i,keypoint_count_j,raw_match_count,filtered_match_count,inlier_match_count,inlier_ratio,median_match_displacement,p90_match_displacement,match_angle_median,match_angle_dispersion,parallax_proxy,low_parallax_flag,near_static_flag,image_difference_mean,image_difference_p90,flow_success,flow_failure_reason,tracked_point_count,valid_flow_count,median_flow_magnitude,p90_flow_magnitude,flow_angle_median,flow_angle_dispersion,forward_backward_flow_consistency,gt_tmag
0,1745407684.847602,1745407684.898371,True,,ORB,1188,1188,1188,1188,1188,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,554,554,0.0,0.0,0.0,0.0,1.0,0.025608014557947745
1,1745407684.898371,1745407684.948536,True,,ORB,1188,1186,1188,1079,1073,0.9944392956441149,0.0,0.0,0.0,6.51401948928833,0.10203790664672852,True,True,0.003069125348702073,0.007843137718737125,True,,554,554,0.10203790664672852,0.20982594788074493,87.08504486083984,46.37074661254883,1.0,0.1268146322133216
2,1745407684.948536,1745407684.99944,True,,ORB,1186,1187,1186,1160,1160,1.0,0.0,0.0,0.0,1.5457634925842285,0.0004496635519899428,True,True,0.0009170305565930903,0.003921568859368563,True,,524,524,0.0004496635519899428,0.09847508370876312,0.0,56.09059524536133,1.0,0.2186400226998709
3,1745407684.99944,1745407685.049989,True,,ORB,1187,1186,1187,1062,1062,1.0,0.0,0.0,0.0,7.056220531463623,0.10122448205947876,True,True,0.0028991654980927706,0.007843137718737125,True,,531,531,0.10122448205947876,0.21120944619178772,76.73381042480469,64.42340850830078,1.0,0.6577791349404453
4,1745407685.049989,1745407685.100162,True,,ORB,1186,1186,1186,1104,1104,1.0,0.0,0.0,0.0,4.311216354370117,0.0565330870449543,True,True,0.002097158692777157,0.003921568859368563,True,,531,531,0.0565330870449543,0.14219951629638672,85.33549499511719,57.44209671020508,1.0,0.45345601774439104
5,1745407685.100162,1745407685.150361,True,,ORB,1186,1185,1186,1152,1152,1.0,0.0,0.0,0.0,1.0293066501617432,0.003071719780564308,True,True,0.0009173559956252575,0.003921568859368563,True,,525,525,0.003071719780564308,0.07018853724002838,0.0,69.85762023925781,1.0,0.28310458586501297
6,1745407685.150361,1745407685.200694,True,,ORB,1185,1193,1185,423,358,0.8463356973995272,0.0,16.37498664855957,0.0,28.530994415283203,2.9369186295403376,False,False,0.07695340365171432,0.21176470816135406,True,,525,486,6.0225419998168945,41.091331481933594,28.12783432006836,90.05713653564453,0.4876543209876543,0.3351018363133865
7,1745407685.200694,1745407685.251619,True,,ORB,1193,1188,1193,362,256,0.7071823204419889,0.0,21.868803024291992,0.0,35.84213638305664,3.0817769359560048,False,False,0.059173621237277985,0.16470588743686676,True,,545,534,6.0725789070129395,43.983001708984375,0.0,77.13597106933594,0.5074906367041199,0.4384642701865327
8,1745407685.251619,1745407685.301971,True,,ORB,1188,1195,1188,407,407,1.0,0.0,19.253475189208984,0.0,26.45717430114746,3.3386935756987883,False,False,0.08459905534982681,0.239215686917305,True,,508,476,7.1265387535095215,47.57468032836914,16.84564971923828,91.81382751464844,0.4684873949579832,0.21187705574602164
9,1745407685.301971,1745407685.352192,True,,ORB,1195,1188,1195,354,265,0.748587570621469,0.0,26.399993896484375,0.0,34.436893463134766,1.7329118894727042,False,False,0.061311718076467514,0.1725490242242813,True,,548,534,3.24692964553833,34.914695739746094,0.0,79.08090209960938,0.5337078651685393,0.740239318259982
