method,status,clean_or_diagnostic,drift,ATE,path_ratio,explicit_cfg,unexpected_count,selected_by_train_only,test_labels_used_for_selection,notes
true T57b multiscale 0/0,valid clean baseline,clean,1.494,9.644,0.496,yes,0,n/a,false,true baseline
true T57b multiscale + rot-only,valid eval-only diagnostic,diagnostic,1.310,7.611,0.496,yes,0,n/a,false,improves drift/ATE but not scale
S1d2 0/0,clean scale-anchor candidate,clean,1.579,11.487,0.901,yes,0,yes,false,repairs scale but hurts ATE
S1d2 + rot-only,clean scale-anchor + rot diagnostic,diagnostic,1.367,7.749,0.901,yes,0,false,false,strong combined diagnostic
S1d3 best alpha+rot,stable diagnostic target not clean fitted mainline,diagnostic,1.433,7.971,0.970,yes,0,false,true,test-swept diagnostic only
S1d4 train-selected policy,clean train-CV selected mainline,clean,1.396,7.632,0.935,yes,0,yes,false,clean selected policy
S1d5 exported policy,current clean exported mainline policy,clean,1.396358,7.632463,0.934982,yes,0,yes,false,exported and reproducible
historical scalar-load 0/0,invalid as true baseline,invalid diagnostic,1.786,11.573,0.983,no,15,no,n/a,scalar-load mismatch artifact
historical scalar-load rot-only,invalid as true baseline,invalid diagnostic,1.491,7.973,0.983,no,15,no,n/a,scalar-load mismatch artifact
